Include,Index,Color,Sensor Location,Sensor Type,Sensor Lot No,Sensor Info,Replicate Group,Baseline Loc.,Assoc. (Sample) Loc.,Sample ID,Sample Info,Dissoc. Loc.,Loading Loc.,Loading Sample ID,Loading Conc. (ug/ml),Loading Response,Cycle,Conc. (nM),Response,KD (M),KD2,KD Error,KD2 Error,ka (1/Ms),ka2,ka Error,ka2 Error,kdis (1/s),kdis2,kdis Error,kdis2 Error,Rmax,Rmax2,Rmax Error,Rmax2 Error,kobs (1/s),kobs2,kobs Error,kobs2 Error,Req,Req2,Req/Rmax(%),Req2/Rmax2,RSS,Full R^2,KD(%),KD2(%),File location,
x,1,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,H1,,p1A8,p1A2,Fab22,20,1.47,1,1000,1.8554,9.159E-12,1.330E-07,,2.044E-09,5.801E03,1.206E05,2.306E01,1.555E03,<1.0E-07,1.604E-02,,1.339E-04,2.3112,0.323,0.0048,0.0012,5.801E-03,1.366E-01,,1.689E-03,2.3112,0.2851,100.0,88.3,0.1561,0.9995,88.0,12.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,2,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H7,,p1A8,p1A2,Fab22,20,1.51,1,1000,1.9352,6.378E-12,5.381E-08,1.342E-10,1.006E-08,7.565E03,2.703E04,9.910E02,2.084E03,<1.0E-07,1.455E-03,<1.0E-07,2.476E-04,1.3762,0.862,0.0842,0.1285,7.565E-03,2.849E-02,9.920E-04,2.331E-03,1.3762,0.818,100.0,94.9,2.2625,0.9931,61.0,39.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,3,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,H1,,p1A8,p1A3,Fab6,20,1.25,2,1000,1.2172,4.016E-08,1.851E-07,1.087E-09,3.861E-09,5.529E03,1.251E05,2.817E01,2.329E03,2.220E-04,2.316E-02,5.901E-06,2.178E-04,1.5918,0.2171,0.0038,0.0017,5.751E-03,1.483E-01,3.407E-05,2.547E-03,1.5303,0.1832,96.1,84.4,0.0686,0.9995,88.0,12.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,4,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H7,,p1A8,p1A3,Fab6,20,1.26,2,1000,0.9908,1.339E-11,1.096E-07,,2.091E-09,9.055E03,1.504E05,4.101E01,2.470E03,1.212E-07,1.648E-02,,1.602E-04,0.9383,0.224,0.0015,0.0009,9.055E-03,1.669E-01,,2.630E-03,0.9383,0.2019,100.0,90.1,0.1117,0.9983,81.0,19.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,5,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,H1,,p1A8,p1A4,Fab10,20,1.17,3,1000,1.1712,3.842E-08,1.778E-07,1.042E-09,3.789E-09,5.624E03,1.306E05,2.777E01,2.489E03,2.161E-04,2.321E-02,5.763E-06,2.214E-04,1.5242,0.2025,0.0035,0.0016,5.840E-03,1.538E-01,3.354E-05,2.710E-03,1.4678,0.172,96.3,84.9,0.0632,0.9995,88.0,12.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,6,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H7,,p1A8,p1A4,Fab10,20,1.16,3,1000,0.9536,5.647E-12,1.120E-07,,2.174E-09,9.478E03,1.563E05,4.035E01,2.635E03,<1.0E-07,1.751E-02,,1.682E-04,0.8964,0.2095,0.0013,0.0008,9.478E-03,1.738E-01,,2.803E-03,0.8964,0.1884,100.0,89.9,0.1006,0.9984,81.0,19.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,7,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,H1,,p1A8,p1A5,Fab11,20,1.41,4,1000,1.0719,6.478E-12,2.003E-07,1.850E-10,3.857E-08,7.449E03,1.375E04,5.046E02,8.508E02,<1.0E-07,2.755E-03,<1.0E-07,5.024E-04,0.779,0.5364,0.0704,0.0663,7.449E-03,1.651E-02,5.059E-04,1.353E-03,0.779,0.4469,100.0,83.3,1.3188,0.9875,59.0,41.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,8,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H7,,p1A8,p1A5,Fab11,20,1.41,4,1000,0.8156,5.272E-09,1.208E-07,1.200E-09,2.953E-09,8.792E03,1.536E05,5.325E01,3.395E03,4.635E-05,1.856E-02,1.054E-05,1.943E-04,0.7737,0.196,0.0018,0.0018,8.838E-03,1.722E-01,6.379E-05,3.589E-03,0.7697,0.1749,99.5,89.2,0.0817,0.9981,80.0,20.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,9,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,H1,,p1A8,p1A6,WT,20,1.35,5,1000,0.6453,6.564E-12,2.591E-07,2.103E-10,2.652E-08,7.350E03,1.712E04,3.679E02,7.312E02,<1.0E-07,4.437E-03,<1.0E-07,4.126E-04,0.4698,0.3228,0.0191,0.0158,7.350E-03,2.156E-02,3.695E-04,1.144E-03,0.4698,0.2563,100.0,79.4,0.596,0.9818,59.0,41.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
x,10,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H7,,p1A8,p1A6,WT,20,1.36,5,1000,0.41,7.209E-08,1.497E-07,1.643E-09,5.188E-09,9.778E03,2.469E05,7.851E01,7.785E03,7.049E-04,3.697E-02,1.503E-05,5.314E-04,0.3726,0.1158,0.0013,0.0011,1.048E-02,2.839E-01,9.355E-05,8.316E-03,0.3475,0.1007,93.3,87.0,0.0469,0.9947,76.0,24.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\H1_H7\260204_001.frd,
