Include,Index,Color,Sensor Location,Sensor Type,Sensor Lot No,Sensor Info,Replicate Group,Baseline Loc.,Assoc. (Sample) Loc.,Sample ID,Sample Info,Dissoc. Loc.,Loading Loc.,Loading Sample ID,Loading Conc. (ug/ml),Loading Response,Cycle,Conc. (nM),Response,KD (M),KD2,KD Error,KD2 Error,ka (1/Ms),ka2,ka Error,ka2 Error,kdis (1/s),kdis2,kdis Error,kdis2 Error,Rmax,Rmax2,Rmax Error,Rmax2 Error,kobs (1/s),kobs2,kobs Error,kobs2 Error,Req,Req2,Req/Rmax(%),Req2/Rmax2,RSS,Full R^2,KD(%),KD2(%),File location,
x,1,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,h2,,p1A8,p1A2,Fab22,20,1.44,1,1000,0.1604,4.962E-07,6.249E-07,3.407E-08,2.941E-08,1.614E05,2.271E03,1.008E04,1.033E02,8.009E-02,1.419E-03,2.284E-03,1.712E-05,0.0512,0.3976,0.0014,0.0144,2.415E-01,3.690E-03,1.236E-02,1.204E-04,0.0342,0.2447,66.8,61.5,0.0159,0.9905,11.0,89.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,2,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H3,,p1A8,p1A2,Fab22,20,1.53,1,1000,1.6673,2.220E-08,2.320E-07,9.313E-10,3.811E-09,5.756E03,7.541E04,2.237E01,1.080E03,1.278E-04,1.749E-02,5.338E-06,1.408E-04,2.1553,0.2848,0.003,0.0024,5.884E-03,9.290E-02,2.770E-05,1.221E-03,2.1085,0.2311,97.8,81.2,0.0587,0.9998,88.0,12.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,3,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,h2,,p1A8,p1A3,Fab6,20,1.29,2,1000,0.0825,4.600E-07,5.029E-07,6.127E-08,1.970E-08,3.415E05,6.577E03,4.192E04,2.442E02,1.571E-01,3.307E-03,8.122E-03,4.126E-05,0.0345,0.101,0.0017,0.0021,4.986E-01,9.884E-03,5.005E-02,2.854E-04,0.0236,0.0672,68.5,66.5,0.0169,0.9688,25.0,75.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,4,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H3,,p1A8,p1A3,Fab6,20,1.30,2,1000,1.062,6.439E-12,2.578E-07,1.493E-10,3.577E-08,7.493E03,1.210E04,4.162E02,7.219E02,<1.0E-07,3.119E-03,<1.0E-07,3.907E-04,0.7881,0.5573,0.0514,0.0442,7.494E-03,1.522E-02,4.173E-04,1.113E-03,0.7881,0.4431,100.0,79.5,0.8967,0.9917,59.0,41.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,5,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,h2,,p1A8,p1A4,Fab10,20,1.21,3,1000,0.0759,4.907E-07,4.920E-07,5.402E-08,2.378E-08,1.908E05,5.944E03,1.915E04,2.692E02,9.364E-02,2.924E-03,4.236E-03,4.932E-05,0.0339,0.0926,0.0015,0.0024,2.845E-01,8.868E-03,2.339E-02,3.185E-04,0.0227,0.0621,67.1,67.0,0.0162,0.9636,27.0,73.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,6,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H3,,p1A8,p1A4,Fab10,20,1.22,3,1000,1.0126,6.382E-12,2.737E-07,1.463E-10,3.726E-08,7.561E03,1.172E04,4.251E02,7.451E02,<1.0E-07,3.208E-03,<1.0E-07,3.862E-04,0.7557,0.5344,0.0477,0.0402,7.561E-03,1.493E-02,4.262E-04,1.131E-03,0.7557,0.4196,100.0,78.5,0.81,0.9918,59.0,41.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,7,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,h2,,p1A8,p1A5,Fab11,20,1.51,4,1000,0.0587,3.796E-07,6.813E-07,1.658E-08,9.922E-08,1.050E04,2.063E05,4.164E02,2.771E04,3.986E-03,1.405E-01,7.318E-05,7.921E-03,0.0538,0.0349,0.0009,0.0023,1.449E-02,3.469E-01,4.896E-04,3.563E-02,0.039,0.0208,72.5,59.5,0.0163,0.9588,61.0,39.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,8,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H3,,p1A8,p1A5,Fab11,20,1.51,4,1000,0.9443,6.566E-12,3.026E-07,1.488E-10,3.748E-08,7.348E03,1.137E04,4.120E02,7.210E02,<1.0E-07,3.440E-03,<1.0E-07,3.662E-04,0.7151,0.5091,0.0405,0.0329,7.348E-03,1.481E-02,4.131E-04,1.087E-03,0.7151,0.3909,100.0,76.8,0.692,0.9919,58.0,42.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,9,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,h2,,p1A8,p1A6,WT,20,1.36,5,1000,0.0483,3.375E-07,8.731E-07,1.351E-08,2.146E-07,2.005E04,4.316E05,7.293E02,9.943E04,6.768E-03,3.768E-01,1.131E-04,3.226E-02,0.0377,0.0368,0.0005,0.0046,2.682E-02,8.084E-01,8.424E-04,1.317E-01,0.0282,0.0196,74.8,53.4,0.0157,0.9664,51.0,49.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
x,10,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,H3,,p1A8,p1A6,WT,20,1.37,5,1000,0.6715,1.610E-11,4.161E-07,,3.785E-08,7.379E03,1.162E04,3.734E02,6.959E02,1.188E-07,4.836E-03,,3.312E-04,0.5154,0.3771,0.0192,0.0134,7.379E-03,1.646E-02,,1.027E-03,0.5154,0.2663,100.0,70.6,0.4135,0.9898,58.0,42.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KD_H2_H3\260204_001.frd,
