Include,Index,Color,Sensor Location,Sensor Type,Sensor Lot No,Sensor Info,Replicate Group,Baseline Loc.,Assoc. (Sample) Loc.,Sample ID,Sample Info,Dissoc. Loc.,Loading Loc.,Loading Sample ID,Loading Conc. (ug/ml),Loading Response,Cycle,Conc. (nM),Response,KD (M),KD2,KD Error,KD2 Error,ka (1/Ms),ka2,ka Error,ka2 Error,kdis (1/s),kdis2,kdis Error,kdis2 Error,Rmax,Rmax2,Rmax Error,Rmax2 Error,kobs (1/s),kobs2,kobs Error,kobs2 Error,Req,Req2,Req/Rmax(%),Req2/Rmax2,RSS,Full R^2,KD(%),KD2(%),File location,
x,1,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,Vtn,,p1A8,p1A2,Fab22,20,1.42,1,1000,1.7221,1.597E-11,7.131E-08,,1.918E-09,8.883E03,2.488E05,4.649E01,6.049E03,1.419E-07,1.774E-02,,2.043E-04,1.6664,0.3513,0.0032,0.0016,8.884E-03,2.665E-01,,6.253E-03,1.6663,0.3279,100.0,93.3,0.4509,0.9978,83.0,17.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,2,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,Tx24,,p1A8,p1A2,Fab22,20,1.46,1,1000,4.5316,6.396E-12,2.359E-08,6.146E-11,1.312E-09,7.543E03,3.451E04,3.593E02,1.021E03,<1.0E-07,8.142E-04,<1.0E-07,3.837E-05,3.368,1.933,0.0447,0.0887,7.543E-03,3.533E-02,3.597E-04,1.059E-03,3.368,1.8884,100.0,97.7,2.8235,0.9985,64.0,36.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,3,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,Vtn,,p1A8,p1A3,Fab6,20,1.23,2,1000,1.2286,3.513E-08,1.242E-07,1.136E-09,3.051E-09,8.886E03,1.916E05,5.022E01,4.282E03,3.122E-04,2.380E-02,9.943E-06,2.429E-04,1.1818,0.2976,0.0027,0.0023,9.198E-03,2.154E-01,6.016E-05,4.524E-03,1.1417,0.2648,96.6,89.0,0.1824,0.998,80.0,20.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,4,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,Tx24,,p1A8,p1A3,Fab6,20,1.23,2,1000,2.7865,1.308E-11,3.244E-08,,9.546E-10,1.088E04,1.219E05,6.848E01,2.939E03,1.423E-07,3.953E-03,,6.670E-05,2.4978,0.5622,0.0045,0.007,1.088E-02,1.258E-01,,3.006E-03,2.4978,0.5445,100.0,96.9,1.0507,0.9983,82.0,18.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,5,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,Vtn,,p1A8,p1A4,Fab10,20,1.12,3,1000,1.1464,2.856E-08,1.274E-07,1.184E-09,3.273E-09,9.179E03,2.013E05,5.446E01,4.699E03,2.621E-04,2.565E-02,1.076E-05,2.744E-04,1.0705,0.2892,0.0026,0.0023,9.441E-03,2.269E-01,6.521E-05,4.974E-03,1.0408,0.2565,97.2,88.7,0.1843,0.9976,79.0,21.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,6,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,Tx24,,p1A8,p1A4,Fab10,20,1.12,3,1000,2.5693,6.069E-12,3.652E-08,7.847E-11,1.359E-09,7.951E03,5.644E04,2.162E02,1.427E03,<1.0E-07,2.061E-03,<1.0E-07,5.627E-05,2.0331,0.9588,0.0094,0.0228,7.951E-03,5.850E-02,2.169E-04,1.483E-03,2.0331,0.925,100.0,96.5,1.9462,0.9961,68.0,32.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,7,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,Vtn,,p1A8,p1A5,Fab11,20,1.41,4,1000,1.0568,4.403E-08,1.241E-07,1.172E-09,3.008E-09,9.614E03,1.981E05,5.534E01,4.371E03,4.233E-04,2.458E-02,1.100E-05,2.465E-04,0.9699,0.2772,0.0023,0.0021,1.004E-02,2.227E-01,6.634E-05,4.618E-03,0.929,0.2466,95.8,89.0,0.1506,0.9976,78.0,22.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,8,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,Tx24,,p1A8,p1A5,Fab11,20,1.42,4,1000,2.2335,6.501E-12,4.047E-08,9.272E-11,1.573E-09,7.422E03,5.682E04,2.255E02,1.512E03,<1.0E-07,2.299E-03,<1.0E-07,6.516E-05,1.8121,0.8385,0.0084,0.0203,7.422E-03,5.912E-02,2.262E-04,1.577E-03,1.8121,0.8059,100.0,96.1,1.7725,0.9953,68.0,32.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,9,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A9,Vtn,,p1A8,p1A6,WT,20,1.20,5,1000,0.8747,6.246E-08,1.366E-07,1.325E-09,3.568E-09,9.306E03,2.236E05,5.964E01,5.314E03,5.812E-04,3.055E-02,1.175E-05,3.304E-04,0.8109,0.2417,0.0022,0.0018,9.887E-03,2.542E-01,7.139E-05,5.644E-03,0.7632,0.2126,94.1,88.0,0.1251,0.997,77.0,23.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
x,10,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A7,p1A10,Tx24,,p1A8,p1A6,WT,20,1.20,5,1000,1.6117,4.084E-12,4.479E-08,3.499E-11,1.624E-09,1.181E04,2.510E05,5.890E01,8.024E03,<1.0E-07,1.124E-02,<1.0E-07,1.922E-04,1.4421,0.3002,0.0023,0.0023,1.181E-02,2.622E-01,5.931E-05,8.217E-03,1.4421,0.2874,100.0,95.7,0.5578,0.9968,83.0,17.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\KDs_mabs\260130_001.frd,
