Include,Index,Color,Sensor Location,Sensor Type,Sensor Lot No,Sensor Info,Replicate Group,Baseline Loc.,Assoc. (Sample) Loc.,Sample ID,Sample Info,Dissoc. Loc.,Loading Loc.,Loading Sample ID,Loading Conc. (ug/ml),Loading Response,Cycle,Conc. (nM),Response,KD (M),KD2,KD Error,KD2 Error,ka (1/Ms),ka2,ka Error,ka2 Error,kdis (1/s),kdis2,kdis Error,kdis2 Error,Rmax,Rmax2,Rmax Error,Rmax2 Error,kobs (1/s),kobs2,kobs Error,kobs2 Error,Req,Req2,Req/Rmax(%),Req2/Rmax2,RSS,Full R^2,KD(%),KD2(%),File location,
x,1,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A1,p1A5,Texas,,p1A3,p1A2,WT,20,1.06,1,1000,3.6132,7.454E-12,2.332E-08,,9.108E-10,7.107E03,3.924E04,2.166E02,9.033E02,<1.0E-07,9.149E-04,,2.887E-05,3.0363,1.3446,0.0145,0.0412,7.107E-03,4.015E-02,,9.321E-04,3.0363,1.3139,100.0,97.7,1.3509,0.9989,69.0,31.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_001.frd,
x,2,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A1,p1A5,Texas,,p1A3,p1A4,Fab22,20,1.50,2,1000,3.9334,7.703E-12,1.610E-08,,8.293E-10,6.891E03,3.248E04,3.414E02,8.916E02,<1.0E-07,5.229E-04,,2.279E-05,3.0199,1.7058,0.0311,0.0749,6.891E-03,3.301E-02,,9.144E-04,3.0199,1.6788,100.0,98.4,1.5751,0.999,64.0,36.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_001.frd,
x,3,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A1,p1A6,Vietnam,,p1A3,p1A2,WT,20,1.05,1,1000,1.1904,5.387E-12,1.251E-07,1.795E-10,8.979E-09,8.956E03,4.193E04,3.614E02,1.535E03,<1.0E-07,5.246E-03,<1.0E-07,3.238E-04,0.8072,0.5131,0.0143,0.0186,8.957E-03,4.717E-02,3.630E-04,1.859E-03,0.8071,0.456,100.0,88.9,2.2335,0.9741,61.0,39.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_001.frd,
x,4,#005CA2,t1A1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1A1,p1A6,Vietnam,,p1A3,p1A4,Fab22,20,1.50,2,1000,1.3174,1.328E-11,1.270E-07,,3.388E-09,9.243E03,2.045E05,5.042E01,4.978E03,1.228E-07,2.598E-02,,2.829E-04,1.2549,0.2838,0.0024,0.0015,9.243E-03,2.305E-01,,5.261E-03,1.2549,0.2518,100.0,88.7,0.2849,0.9975,82.0,18.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_001.frd,
x,5,#7C0B0B,t1B1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1B1,p1B5,Texas,,p1B3,p1B2,WT,20,1.05,1,500,2.8287,<1.0E-12,2.384E-08,,2.534E-10,2.382E05,1.521E04,9.668E03,8.867E01,<1.0E-07,3.626E-04,,3.222E-06,0.2351,3.4155,0.0048,0.0056,1.191E-01,7.967E-03,,4.756E-05,0.2351,3.2601,100.0,95.4,0.5871,0.9994,6.0,94.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_002.frd,
x,6,#7C0B0B,t1B1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1B1,p1B5,Texas,,p1B3,p1B4,Fab22,20,1.49,2,500,3.1111,7.566E-12,2.351E-08,,6.942E-10,1.469E04,2.170E05,4.834E01,5.163E03,1.112E-07,5.103E-03,,8.923E-05,3.7386,0.2777,0.0034,0.0032,7.346E-03,1.136E-01,,2.671E-03,3.7385,0.2653,100.0,95.5,0.2895,0.9998,93.0,7.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_002.frd,
x,7,#7C0B0B,t1B1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1B1,p1B6,Vietnam,,p1B3,p1B2,WT,20,1.06,1,500,0.8414,2.850E-12,7.544E-08,1.035E-10,7.630E-09,1.693E04,5.871E04,8.948E02,2.424E03,<1.0E-07,4.429E-03,<1.0E-07,4.090E-04,0.5656,0.3808,0.018,0.021,8.464E-03,3.378E-02,4.491E-04,1.621E-03,0.5656,0.3309,100.0,86.9,1.248,0.9736,60.0,40.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_002.frd,
x,8,#7C0B0B,t1B1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1B1,p1B6,Vietnam,,p1B3,p1B4,Fab22,20,1.48,2,500,0.9037,3.072E-12,6.086E-08,1.059E-10,7.891E-09,1.571E04,5.871E04,1.158E03,3.095E03,<1.0E-07,3.573E-03,<1.0E-07,4.232E-04,0.6373,0.3935,0.0229,0.0313,7.853E-03,3.293E-02,5.808E-04,1.971E-03,0.6373,0.3508,100.0,89.1,1.3451,0.9767,62.0,38.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_002.frd,
x,9,#00B9BE,t1C1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1C1,p1C5,Texas,,p1C3,p1C2,WT,20,1.06,1,250,2.0082,2.198E-12,2.169E-08,3.017E-11,1.973E-08,2.195E04,3.336E04,4.640E03,4.938E03,<1.0E-07,7.236E-04,<1.0E-07,6.493E-04,1.6343,1.1923,0.9861,1.0083,5.488E-03,9.064E-03,1.161E-03,1.884E-03,1.6343,1.0971,100.0,92.0,0.989,0.9982,58.0,42.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_003.frd,
x,10,#00B9BE,t1C1,FAB2G (Anti-Fab 2nd generation),,,N/A,p1C1,p1C5,Texas,,p1C3,p1C4,Fab22,20,1.50,2,250,2.2022,2.259E-12,2.029E-08,2.856E-11,2.404E-08,2.136E04,2.996E04,4.747E03,5.105E03,<1.0E-07,6.079E-04,<1.0E-07,7.128E-04,1.8322,1.3564,1.5019,1.5188,5.341E-03,8.097E-03,1.187E-03,1.989E-03,1.8322,1.2546,100.0,92.5,1.0197,0.9985,57.0,43.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_003.frd,
